GeneSymbol	Marker	ImmunePhenotype	Function	JAX_Description	OmniSeq_Description	Entrez_Description	GeneCards_Description	UniProt_Description
TBX21	TBX21	T-cell Primed	Unknown		"TBX21 (T-bet), T-box transcription factor 21 ,  is a transcription factor that directs Th1 cell differentiation (PMID:27292648). TBX21 transactivates the IFNγ gene, induces IFNγ production in retrovirally transduced primary T-cells and redirects polarized Th2 cells into the Th1 pathway (PMID: 10761931: PMID:27292648)"	"This gene is a member of a phylogenetically conserved family of genes that share a common DNA-binding domain, the T-box. T-box genes encode transcription factors involved in the regulation of developmental processes. This gene is the human ortholog of mouse Tbx21/Tbet gene. Studies in mouse show that Tbx21 protein is a Th1 cell-specific transcription factor that controls the expression of the hallmark Th1 cytokine, interferon-gamma (IFNG). Expression of the human ortholog also correlates with IFNG expression in Th1 and natural killer cells, suggesting a role for this gene in initiating Th1 lineage development from naive Th precursor cells. [provided by RefSeq, Jul 2008]"	"TBX21 (T-Box Transcription Factor 21) is a Protein Coding gene. Diseases associated with TBX21 include Asthma, Nasal Polyps, And Aspirin Intolerance and Asthma. Among its related pathways are Development and heterogeneity of the ILC family and Glucocorticoid receptor regulatory network. Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and transcription regulatory region DNA binding. An important paralog of this gene is EOMES."	"Lineage-defining transcription factor which initiates Th1 lineage development from naive Th precursor cells both by activating Th1 genetic programs and by repressing the opposing Th2 and Th17 genetic programs (PubMed:10761931). Activates transcription of a set of genes important for Th1 cell function, including those encoding IFN-gamma and the chemokine receptor CXCR3. Activates IFNG and CXCR3 genes in part by recruiting chromatin remodeling complexes including KDM6B, a SMARCA4-containing SWI/SNF-complex, and an H3K4me2-methyltransferase complex to their promoters and all of these complexes serve to establish a more permissive chromatin state conducive with transcriptional activation (By similarity). Can activate Th1 genes also via recruitment of Mediator complex and P-TEFb (composed of CDK9 and CCNT1/cyclin-T1) in the form of the super elongation complex (SEC) to super-enhancers and associated genes in activated Th1 cells (PubMed:27292648). Inhibits the Th17 cell lineage commitment by blocking RUNX1-mediated transactivation of Th17 cell-specific transcriptinal regulator RORC. Inhibits the Th2 cell lineage commitment by suppressing the production of Th2 cytokines, such as IL-4, IL-5, and IL- 13, via repression of transcriptional regulators GATA3 and NFATC2. Protects Th1 cells from amplifying aberrant type-I IFN response in an IFN-gamma abundant microenvironment by acting as a repressor of type-I IFN transcription factors and type-I IFN-stimulated genes. Acts as a regulator of antiviral B-cell responses; controls chronic viral infection by promoting the antiviral antibody IgG2a isotype switching and via regulation of a broad antiviral gene expression program (By similarity)."
TGFB1	TGFB1	Anti-inflammatory Response	Anti-inflammatory	"TGFB1, transforming growth factor beta 1, is a secreted cytokine that regulates cell growth, proliferation, differentiation, and apoptosis (PMID: 3861940). Altered Tgfb1 expression has been demonstrated in a variety of tumor types (PMID: 20001556)."	"TGFB1, transforming growth factor beta 1, is a secreted cytokine that regulates cell growth, proliferation, differentiation, and apoptosis (PMID: 3861940). TGFB induces the epithelial mesenchymal transition (EMT) and of myofibroblast differentiation which is important for normal tissue repair (PMID: 30696809)"	"This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate a latency-associated peptide (LAP) and a mature peptide, and is found in either a latent form composed of a mature peptide homodimer, a LAP homodimer, and a latent TGF-beta binding protein, or in an active form consisting solely of the mature peptide homodimer. The mature peptide may also form heterodimers with other TGFB family members. This encoded protein regulates cell proliferation, differentiation and growth, and can modulate expression and activation of other growth factors including interferon gamma and tumor necrosis factor alpha. This gene is frequently upregulated in tumor cells, and mutations in this gene result in Camurati-Engelmann disease. [provided by RefSeq, Aug 2016]"	"TGFB1 (Transforming Growth Factor Beta 1) is a Protein Coding gene. Diseases associated with TGFB1 include Camurati-Engelmann Disease and Inflammatory Bowel Disease, Immunodeficiency, And Encephalopathy. Among its related pathways are Metabolism of proteins and MicroRNAs in cardiomyocyte hypertrophy. Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and enzyme binding. An important paralog of this gene is TGFB3."	"Transforming growth factor beta-1 proprotein: Precursor of the Latency-associated peptide (LAP) and Transforming growth factor beta-1 (TGF-beta-1) chains, which constitute the regulatory and active subunit of TGF-beta-1, respectively. [Latency-associated peptide]: Required to maintain the Transforming growth factor beta-1 (TGF-beta-1) chain in a latent state during storage in extracellular matrix (PubMed:28117447). Associates non-covalently with TGF-beta-1 and regulates its activation via interaction with 'milieu molecules', such as LTBP1, LRRC32/GARP and LRRC33/NRROS, that control activation of TGF-beta-1 (PubMed:2022183, PubMed:8617200, PubMed:8939931, PubMed:19750484, PubMed:22278742, PubMed:19651619). Interaction with LRRC33/NRROS regulates activation of TGF-beta-1 in macrophages and microglia (Probable). Interaction with LRRC32/GARP controls activation of TGF-beta-1 on the surface of activated regulatory T-cells (Tregs) (PubMed:19750484, PubMed:22278742, PubMed:19651619). Interaction with integrins (ITGAV:ITGB6 or ITGAV:ITGB8) results in distortion of the Latency-associated peptide chain and subsequent release of the active TGF-beta-1 (PubMed:22278742, PubMed:28117447). Transforming growth factor beta-1: Multifunctional protein that regulates the growth and differentiation of various cell types and is involved in various processes, such as normal development, immune function, microglia function and responses to neurodegeneration (By similarity). Activation into mature form follows different steps: following cleavage of the proprotein in the Golgi apparatus, Latency-associated peptide (LAP) and Transforming growth factor beta-1 (TGF-beta-1) chains remain non-covalently linked rendering TGF-beta-1 inactive during storage in extracellular matrix (PubMed:29109152). At the same time, LAP chain interacts with 'milieu molecules', such as LTBP1, LRRC32/GARP and LRRC33/NRROS that control activation of TGF-beta-1 and maintain it in a latent state during storage in extracellular milieus (PubMed:2022183, PubMed:8617200, PubMed:8939931, PubMed:19750484, PubMed:22278742, PubMed:19651619). TGF-beta-1 is released from LAP by integrins (ITGAV:ITGB6 or ITGAV:ITGB8): integrin-binding to LAP stabilizes an alternative conformation of the LAP bowtie tail and results in distortion of the LAP chain and subsequent release of the active TGF-beta-1 (PubMed:22278742, PubMed:28117447). Once activated following release of LAP, TGF-beta-1 acts by binding to TGF-beta receptors (TGFBR1 and TGFBR2), which transduce signal (PubMed:20207738). While expressed by many cells types, TGF-beta-1 only has a very localized range of action within cell environment thanks to fine regulation of its activation by Latency-associated peptide chain (LAP) and 'milieu molecules' (By similarity). Plays an important role in bone remodeling: acts as a potent stimulator of osteoblastic bone formation, causing chemotaxis, proliferation and differentiation in committed osteoblasts (By similarity). Can promote either T-helper 17 cells (Th17) or regulatory T-cells (Treg) lineage differentiation in a concentration-dependent manner (By similarity). At high concentrations, leads to FOXP3-mediated suppression of RORC and down-regulation of IL-17 expression, favoring Treg cell development (By similarity). At low concentrations in concert with IL-6 and IL-21, leads to expression of the IL-17 and IL-23 receptors, favoring differentiation to Th17 cells (By similarity). Stimulates sustained production of collagen through the activation of CREB3L1 by regulated intramembrane proteolysis (RIP) (PubMed:25310401). Mediates SMAD2/3 activation by inducing its phosphorylation and subsequent translocation to the nucleus (PubMed:25893292, PubMed:29483653, PubMed:30696809). Can induce epithelial-to-mesenchymal transition (EMT) and cell migration in various cell types (PubMed:25893292, PubMed:30696809)."
TIGIT	TIGIT	Checkpoint Blockade (Other)	Unknown		"TIGIT, T cell immunoglobulin and ITIM domain, is a T cell– and NK cell–specific gene that encodes a protein containing an immunoglobulin variable (IgV) domain, a transmembrane domain and an immunoreceptor tyrosine-based inhibitory motif (ITIM) (PMID: 19011627). TIGIT is a cohibitory receptor that limits antitumor and other CD8+ T-cell dependent chronic immune responses (PMID: 25465800) by inducing IL-10 production by DCs (PMID:19011627)"	"This gene encodes a member of the PVR (poliovirus receptor) family of immunoglobin proteins. The product of this gene is expressed on several classes of T cells including follicular B helper T cells (TFH). The protein has been shown to bind PVR with high affinity; this binding is thought to assist interactions between TFH and dendritic cells to regulate T cell dependent B cell responses.[provided by RefSeq, Sep 2009]"	TIGIT (T Cell Immunoreceptor With Ig And ITIM Domains) is a Protein Coding gene. Among its related pathways are Cell adhesion molecules (CAMs) and T Cell Co-Signaling Pathway: Ligand-Receptor Interactions. Gene Ontology (GO) annotations related to this gene include signaling receptor binding. An important paralog of this gene is NECTIN2.	Binds with high affinity to the poliovirus receptor (PVR) which causes increased secretion of IL10 and decreased secretion of IL12B and suppresses T-cell activation by promoting the generation of mature immunoregulatory dendritic cells.
TLR7	TLR7	Pro-inflammatory Response	Unknown	"TLR7, toll like receptor 7, is an endosomal receptor that recognizes single-stranded RNA and functions in activation of the inflammatory response (PMID: 28620298, PMID: 28374903). Overexpression of Tlr7 has been demonstrated in pancreatic cancer (PMID: 26134824), esophageal squamous cell carcinoma, and gastroesophageal junction adenocarcinoma (PMID: 29968427, PMID: 21990957)."	"TLR7, toll like receptor 7, is an endosomal receptor that recognizes single-stranded RNA and located primarily in plasmacytoid dendritic cells and B cells (PMID:18250417) TLR7 has functions in activation of the inflammatory response (PMID: 28620298, PMID: 28374903)."	"The protein encoded by this gene is a member of the Toll-like receptor (TLR) family which plays a fundamental role in pathogen recognition and activation of innate immunity. TLRs are highly conserved from Drosophila to humans and share structural and functional similarities. They recognize pathogen-associated molecular patterns (PAMPs) that are expressed on infectious agents, and mediate the production of cytokines necessary for the development of effective immunity. The various TLRs exhibit different patterns of expression. This gene is predominantly expressed in lung, placenta, and spleen, and lies in close proximity to another family member, TLR8, on chromosome X. [provided by RefSeq, Jul 2008]"	"TLR7 (Toll Like Receptor 7) is a Protein Coding gene. Diseases associated with TLR7 include Superficial Basal Cell Carcinoma and Hand, Foot And Mouth Disease. Among its related pathways are Th1 Differentiation Pathway and Toll-like Receptor Signaling Pathway. Gene Ontology (GO) annotations related to this gene include transmembrane signaling receptor activity and double-stranded RNA binding. An important paralog of this gene is TLR8."	"Key component of innate and adaptive immunity. TLRs (Toll-like receptors) control host immune response against pathogens through recognition of molecular patterns specific to microorganisms. TLR7 is a nucleotide-sensing TLR which is activated by single-stranded RNA. Acts via MYD88 and TRAF6, leading to NF-kappa-B activation, cytokine secretion and the inflammatory response (By similarity)."
TLR8	TLR8	Pro-inflammatory Response	Unknown		"TLR8, toll like receptor 8, is part of a family of receptors in innate immunity that play an important role in the initiation of host defense. TLR8 recognizes single stranded RNA and self RNA from dead or dying cells (PMID: 23520111: PMID: 17932028)"	"The protein encoded by this gene is a member of the Toll-like receptor (TLR) family which plays a fundamental role in pathogen recognition and activation of innate immunity. TLRs are highly conserved from Drosophila to humans and share structural and functional similarities. They recognize pathogen-associated molecular patterns (PAMPs) that are expressed on infectious agents, and mediate the production of cytokines necessary for the development of effective immunity. The various TLRs exhibit different patterns of expression. This gene is predominantly expressed in lung and peripheral blood leukocytes, and lies in close proximity to another family member, TLR7, on chromosome X. [provided by RefSeq, Jul 2008]"	TLR8 (Toll Like Receptor 8) is a Protein Coding gene. Diseases associated with TLR8 include Superficial Basal Cell Carcinoma and Viral Infectious Disease. Among its related pathways are Th1 Differentiation Pathway and Toll-like Receptor Signaling Pathway. Gene Ontology (GO) annotations related to this gene include RNA binding and drug binding. An important paralog of this gene is TLR7.	"Key component of innate and adaptive immunity. TLRs (Toll-like receptors) control host immune response against pathogens through recognition of molecular patterns specific to microorganisms. Acts via MYD88 and TRAF6, leading to NF-kappa-B activation, cytokine secretion and the inflammatory response."
TLR9	TLR9	Pro-inflammatory Response	Unknown	"TLR9, toll like receptor 9, is part of a family of receptors in innate immunity that play an important role in the initiation of host defense. TLR9 recognizes CpG motifs that exist in both viral and bacterial DNA (PMID: 17932028), along with stimualation of immune cells to confer defense against pathogens (PMID:31054156)"	"TLR9, toll like receptor 9, is part of a family of receptors in innate immunity that play an important role in the initiation of host defense. TLR9 recognizes CpG motifs that exist in both viral and bacterial DNA (PMID: 17932028), along with stimualation of immune cells to confer defense against pathogens (PMID:31054156)"	"The protein encoded by this gene is a member of the Toll-like receptor (TLR) family, which plays a fundamental role in pathogen recognition and activation of innate immunity. TLRs are highly conserved from Drosophila to humans and share structural and functional similarities. They recognize pathogen-associated molecular patterns (PAMPs) that are expressed on infectious agents, and mediate the production of cytokines necessary for the development of effective immunity. Studies in mice and human indicate that this receptor mediates cellular response to unmethylated CpG dinucleotides in bacterial DNA to mount an innate immune response. [provided by RefSeq, Aug 2017]"	TLR9 (Toll Like Receptor 9) is a Protein Coding gene. Diseases associated with TLR9 include Meningococcal Meningitis and Stevens-Johnson Syndrome/Toxic Epidermal Necrolysis Overlap Syndrome. Among its related pathways are Th1 Differentiation Pathway and Toll-like Receptor Signaling Pathway. Gene Ontology (GO) annotations related to this gene include transmembrane signaling receptor activity and siRNA binding. An important paralog of this gene is ENSG00000173366.	"Key component of innate and adaptive immunity. TLRs (Toll-like receptors) control host immune response against pathogens through recognition of molecular patterns specific to microorganisms. TLR9 is a nucleotide-sensing TLR which is activated by unmethylated cytidine-phosphate-guanosine (CpG) dinucleotides. Acts via MYD88 and TRAF6, leading to NF-kappa-B activation, cytokine secretion and the inflammatory response (PubMed:11564765, PubMed:17932028). Controls lymphocyte response to Helicobacter infection (By similarity). Upon CpG stimulation, induces B-cell proliferation, activation, survival and antibody production (PubMed:23857366)."
TNF	TNF	Pro-inflammatory Response	Pro-inflammatory	"TNF, tumor necrosis factor, is a cytokine member of the TNF superfamily (PMID: 29484738) and is mainly produced by macrophages in response to inflammation (PMID: 30585274). Due to the potent anti-tumor effects of Tnf, its role in immunotherapy is under  rapid investigation, but has been hampered, to date, due to high toxicity associated with administration of systemic Tnf (PMID: 30170620, PMID: 29484738)."	"TNF, tumor necrosis factor, is a cytokine member of the TNF superfamily (PMID: 29484738) and is mainly produced by macrophages in response to inflammation (PMID: 30585274). TNF is released rapidly after injury with short kinetics, however prolonged TNF production is associated with pathology (PMID: 27726761)"	"This gene encodes a multifunctional proinflammatory cytokine that belongs to the tumor necrosis factor (TNF) superfamily. This cytokine is mainly secreted by macrophages. It can bind to, and thus functions through its receptors TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR. This cytokine is involved in the regulation of a wide spectrum of biological processes including cell proliferation, differentiation, apoptosis, lipid metabolism, and coagulation. This cytokine has been implicated in a variety of diseases, including autoimmune diseases, insulin resistance, and cancer. Knockout studies in mice also suggested the neuroprotective function of this cytokine. [provided by RefSeq, Jul 2008]"	TNF (Tumor Necrosis Factor) is a Protein Coding gene. Diseases associated with TNF include Asthma and Malaria. Among its related pathways are MicroRNAs in cardiomyocyte hypertrophy and Amyotrophic lateral sclerosis (ALS). Gene Ontology (GO) annotations related to this gene include identical protein binding and cytokine activity. An important paralog of this gene is LTA.	"Cytokine that binds to TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR. It is mainly secreted by macrophages and can induce cell death of certain tumor cell lines. It is potent pyrogen causing fever by direct action or by stimulation of interleukin-1 secretion and is implicated in the induction of cachexia, Under certain conditions it can stimulate cell proliferation and induce cell differentiation. Impairs regulatory T-cells (Treg) function in individuals with rheumatoid arthritis via FOXP3 dephosphorylation. Upregulates the expression of protein phosphatase 1 (PP1), which dephosphorylates the key 'Ser-418' residue of FOXP3, thereby inactivating FOXP3 and rendering Treg cells functionally defective (PubMed:23396208). Key mediator of cell death in the anticancer action of BCG-stimulated neutrophils in combination with DIABLO/SMAC mimetic in the RT4v6 bladder cancer cell line (PubMed:22517918, PubMed:16829952, PubMed:23396208). Induces insulin resistance in adipocytes via inhibition of insulin-induced IRS1 tyrosine phosphorylation and insulin-induced glucose uptake. Induces GKAP42 protein degradation in adipocytes which is partially responsible for TNF-induced insulin resistance (By similarity). The TNF intracellular domain (ICD) form induces IL12 production in dendritic cells."
TNFRSF14	TNFRSF14	Checkpoint Blockade (Other)	Unknown	"TNFRSF14, TNF receptor superfamily member 14, encodes a transmembrane glycoprotein that acts as a receptor in the tumor necrosis factor signaling pathway, coordinating pro- and anti-inflammatory signaling, and plays a role in T-cell activation and maintece (PMID: 22017438, PMID: 21920726). TNFRSF14 mutations have been identified in follicular lymphoma (PMID: 20884631) and diffuse large B-cell lymphoma (PMID: 22343534), and altered expression has been reported in multiple cancers including reduced levels in classical Hodgkin lymphoma (PMID: 26650888), and increased expression in gastric cancer (PMID: 28243127)."	"TNFRSF14, TNF receptor superfamily member 14, encodes a transmembrane glycoprotein that acts as a receptor in the tumor necrosis factor signaling pathway, coordinating pro- and anti-inflammatory signaling, and plays a role in T-cell activation and maintece (PMID: 22017438, PMID: 21920726)."	"This gene encodes a member of the TNF (tumor necrosis factor) receptor superfamily. The encoded protein functions in signal transduction pathways that activate inflammatory and inhibitory T-cell immune response. It binds herpes simplex virus (HSV) viral envelope glycoprotein D (gD), mediating its entry into cells. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2014]"	TNFRSF14 (TNF Receptor Superfamily Member 14) is a Protein Coding gene. Diseases associated with TNFRSF14 include Herpes Simplex and Nodal Marginal Zone Lymphoma. Among its related pathways are ERK Signaling and Class I MHC mediated antigen processing and presentation. Gene Ontology (GO) annotations related to this gene include ubiquitin protein ligase binding and tumor necrosis factor-activated receptor activity. An important paralog of this gene is TNFRSF6B.	"Receptor for four distinct ligands: The TNF superfamily members TNFSF14/LIGHT and homotrimeric LTA/lymphotoxin-alpha and the immunoglobulin superfamily members BTLA and CD160, altogether defining a complex stimulatory and inhibitory signaling network (PubMed:9462508, PubMed:10754304, PubMed:18193050, PubMed:23761635). Signals via the TRAF2-TRAF3 E3 ligase pathway to promote immune cell survival and differentiation (PubMed:19915044, PubMed:9153189, PubMed:9162022). Participates in bidirectional cell-cell contact signaling between antigen presenting cells and lymphocytes. In response to ligation of TNFSF14/LIGHT, delivers costimulatory signals to T cells, promoting cell proliferation and effector functions (PubMed:10754304). Interacts with CD160 on NK cells, enhancing IFNG production and anti-tumor immune response (PubMed:23761635). In the context of bacterial infection, acts as a signaling receptor on epithelial cells for CD160 from intraepithelial lymphocytes, triggering the production of antimicrobial proteins and proinflammatory cytokines (By similarity). Upon binding to CD160 on activated CD4+ T cells, downregulates CD28 costimulatory signaling, restricting memory and alloantigen-specific immune response (PubMed:18193050). May interact in cis (on the same cell) or in trans (on other cells) with BTLA (PubMed:19915044) (By similarity). In cis interactions, appears to play an immune regulatory role inhibiting in trans interactions in naive T cells to maintain a resting state. In trans interactions, can predominate during adaptive immune response to provide survival signals to effector T cells (PubMed:19915044) (By similarity). (Microbial infection) Acts as a receptor for Herpes simplex virus 1/HHV-1. (Microbial infection) Acts as a receptor for Herpes simplex virus 2/HHV-2."
TNFRSF18	GITR	T-cell Primed	Co-stimulatory		"TNFRSF18, (GITR) TNF Receptor Superfamily Member 18, is upregulated after T-cell receptor stimulation. TNFRSF18 is involved in the inhibition of T-cell receptor induced apoptosis and upregulation of inducible nitric oxide synthase (iNOS) (PMID: 15326137; PMID: 9177197). GITR also plays a pivotal role in regulating the suppressive function of CD4+CD25+ regulatory T cells (PMID: 15326137)"	"This gene encodes a member of the TNF-receptor superfamily. The encoded receptor has been shown to have increased expression upon T-cell activation, and it is thought to play a key role in dominant immunological self-tolerance maintained by CD25(+)CD4(+) regulatory T cells. Knockout studies in mice also suggest the role of this receptor is in the regulation of CD3-driven T-cell activation and programmed cell death. Three alternatively spliced transcript variants of this gene encoding distinct isoforms have been reported. [provided by RefSeq, Feb 2011]"	TNFRSF18 (TNF Receptor Superfamily Member 18) is a Protein Coding gene. Diseases associated with TNFRSF18 include Tropical Spastic Paraparesis and Diverticulitis. Among its related pathways are ERK Signaling and TGF-Beta Pathway. Gene Ontology (GO) annotations related to this gene include tumor necrosis factor-activated receptor activity. An important paralog of this gene is TNFRSF1B.	Receptor for TNFSF18. Seems to be involved in interactions between activated T-lymphocytes and endothelial cells and in the regulation of T-cell receptor-mediated cell death. Mediated NF-kappa-B activation via the TRAF2/NIK pathway.
TNFRSF4	OX40	T-cell Primed	Co-stimulatory	"TNFRSF4 (OX40), tumor necrosis factor receptor superfamily member 4, is expressed on activated T-cells and plays a role in immune co-stimulation through enhanced cell proliferation and survival of T-cells (PMID: 28092803). TNFRSF4 (OX40) antibody based therapies that mimic TNFSF4 (OX40L) may activate T-cells in an antitumor response (PMID: 29574275, PMID: 29529339)."	"TNFRSF4 (OX40), tumor necrosis factor receptor superfamily member 4, is expressed on activated lymphocytes and predominately CD4+ T-cells (PMID: 26215166). OX40  plays a role in immune co-stimulation through enhanced cell proliferation and survival of T-cells (PMID: 28092803)."	"The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor has been shown to activate NF-kappaB through its interaction with adaptor proteins TRAF2 and TRAF5. Knockout studies in mice suggested that this receptor promotes the expression of apoptosis inhibitors BCL2 and BCL2lL1/BCL2-XL, and thus suppresses apoptosis. The knockout studies also suggested the roles of this receptor in CD4+ T cell response, as well as in T cell-dependent B cell proliferation and differentiation. [provided by RefSeq, Jul 2008]"	TNFRSF4 (TNF Receptor Superfamily Member 4) is a Protein Coding gene. Diseases associated with TNFRSF4 include Immunodeficiency 16 and Acute Graft Versus Host Disease. Among its related pathways are ERK Signaling and Akt Signaling. Gene Ontology (GO) annotations related to this gene include tumor necrosis factor-activated receptor activity. An important paralog of this gene is TNFRSF11A.	Receptor for TNFSF4/OX40L/GP34. Is a costimulatory molecule implicated in long-term T-cell immunity. (Microbial infection) Acts as a receptor for human herpesvirus 6B/HHV-6B.
TNFRSF9	CD137	T-cell Primed	Co-stimulatory		"TNFRSF9 (4-1BB/CD137), TNF Receptor Superfamily Member 9, is a costimulatory receptor expressed on activated T-cells (PMID:22406983). CD137 promotes cellular proliferation, survival, cytokine production and plays a role in the differentiation of effector memory CTLs (PMID:22406983; PMID: 12384425)"	"The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor contributes to the clonal expansion, survival, and development of T cells. It can also induce proliferation in peripheral monocytes, enhance T cell apoptosis induced by TCR/CD3 triggered activation, and regulate CD28 co-stimulation to promote Th1 cell responses. The expression of this receptor is induced by lymphocyte activation. TRAF adaptor proteins have been shown to bind to this receptor and transduce the signals leading to activation of NF-kappaB. [provided by RefSeq, Jul 2008]"	TNFRSF9 (TNF Receptor Superfamily Member 9) is a Protein Coding gene. Diseases associated with TNFRSF9 include Retroperitoneal Hemangiopericytoma and Nodular Goiter. Among its related pathways are ERK Signaling and Akt Signaling. Gene Ontology (GO) annotations related to this gene include cytokine binding. An important paralog of this gene is TNFRSF21.	Receptor for TNFSF9/4-1BBL. Possibly active during T cell activation.
TNFSF4	OX-40L	T-cell Primed	Co-stimulatory	"TNFSF4 (OX40L), tumor necrosis factor ligand superfamily member 4, is expressed on antigen presenting cells and co-stimulates T-cells through binding of TNFRSF4 (OX40) to induce cell proliferation and survival of T-cells in autoimmunity responses (PMID: 28092803, PMID: 26215166). TNFSF4 (OX40L) fusion protein based therapies may stimulate TNFRSF4 (OX40) to activate T-cells in an antitumor response (PMID: 29545330, PMID: 29207606)."	"TNFSF4 (OX40L), tumor necrosis factor ligand superfamily member 4, is expressed on antigen presenting cells and co-stimulates T-cells through binding of TNFRSF4 (OX40) to induce cell proliferation and survival of T-cells in autoimmunity responses (PMID: 28092803, PMID: 26215166). "	"This gene encodes a cytokine of the tumor necrosis factor (TNF) ligand family. The encoded protein functions in T cell antigen-presenting cell (APC) interactions and mediates adhesion of activated T cells to endothelial cells. Polymorphisms in this gene have been associated with Sjogren's syndrome and systemic lupus erythematosus. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2014]"	TNFSF4 (TNF Superfamily Member 4) is a Protein Coding gene. Diseases associated with TNFSF4 include Myocardial Infarction and Systemic Lupus Erythematosus. Among its related pathways are ERK Signaling and Akt Signaling. Gene Ontology (GO) annotations related to this gene include signaling receptor binding and tumor necrosis factor receptor binding.	Cytokine that binds to TNFRSF4. Co-stimulates T-cell proliferation and cytokine production.
